pitchfork_id,link,artist,album,release_year,score,Unnamed: 6
0,/reviews/albums/adrian-younge-the-american-negro/,Adrian Younge,The American Negro,2021,4,
1,/reviews/albums/fauzia-flashes-in-time/,FAUZIA,flashes in time,2021,7.3,
2,/reviews/albums/eve-adams-metal-bird/,Eve Adams,Metal Bird,2021,7.5,
3,/reviews/albums/drakeo-the-ruler-the-truth-hurts/,Drakeo the Ruler,The Truth Hurts,2021,7.7,
4,/reviews/albums/black-sabbath-vol-4-super-deluxe/,Black Sabbath,Vol. 4 (Super Deluxe),2021,9,
5,/reviews/albums/sam-gendel-fresh-bread/,Sam Gendel,Fresh Bread,2021,6.5,
6,/reviews/albums/altin-gun-yol/,Altin Gün,Yol,2021,7.6,
7,/reviews/albums/king-gizzard-and-the-lizard-wizard-kg-lw/,King Gizzard & The Lizard Wizard,K.G.,2021,8,
8,/reviews/albums/tarta-relena-pack-pro-nobis/,Tarta Relena,Pack Pro Nobis,2021,7.8,
9,/reviews/albums/jimmy-edgar-cheetah-bend/,Jimmy Edgar,Cheetah Bend,2021,6.9,
10,/reviews/albums/roosevelt-polydans/,Roosevelt,Polydans,2021,6.4,
11,/reviews/albums/nick-cave-warren-ellis-carnage/,Nick Cave||Warren Ellis,Carnage,2021,8,
12,/reviews/albums/cloud-nothings-the-shadow-i-remember/,Cloud Nothings,The Shadow I Remember,2021,7.2,
13,/reviews/albums/mia-doi-todd-music-life/,Mia Doi Todd,Music Life,2021,7.3,
14,/reviews/albums/kizis-tidibabide-turn/,Kìzis,Tidibàbide / Turn,2021,6.8,
15,/reviews/albums/mouse-on-mars-aai/,Mouse on Mars,Aai,2021,7.2,
16,/reviews/albums/blanck-mass-in-ferneaux/,Blanck Mass,In Ferneaux,2021,7,
17,/reviews/albums/danny-l-harle-harlecore/,Danny L Harle,Harlecore,2021,7.3,
18,/reviews/albums/rx-papi-100-miles-and-walkin/,Rx Papi,100 Miles and Walk’in,2021,7,
19,/reviews/albums/genesis-duke/,Genesis,Duke,1980,8,
20,/reviews/albums/stereolab-electrically-possessed-switched-on-vol-4/,Stereolab,Electrically Possessed (Switched On Vol. 4),2021,7.9,
21,/reviews/albums/julien-baker-little-oblivions/,Julien Baker,Little Oblivions,2021,7.6,
22,/reviews/albums/madison-beer-life-support/,Madison Beer,Life Support,2021,5.9,
23,/reviews/albums/kas-like-sunlit-threads/,Kas,Like Sunlit Threads,2021,7.3,
24,/reviews/albums/the-muckers-endeavor/,The Muckers,Endeavor,2021,5.3,
25,/reviews/albums/indigo-sparke-echo/,Indigo Sparke,Echo,2021,7.6,
26,/reviews/albums/smerz-believer/,Smerz,Believer,2021,7.7,
27,/reviews/albums/lil-zay-osama-trench-baby/,Lil Zay Osama,Trench Baby,2021,6.4,
28,/reviews/albums/for-your-health-in-spite-of/,For Your Health,In Spite Of,2021,7.6,
29,/reviews/albums/the-hold-steady-open-door-policy/,The Hold Steady,Open Door Policy,2021,7.6,
30,/reviews/albums/ol-burger-beats-vuyo-dialogue/,Ol’ Burger Beats||Vuyo,Dialogue.,2021,7.3,
31,/reviews/albums/black-dresses-forever-in-your-heart/,Black Dresses,Forever in Your Heart,2021,7.6,
32,/reviews/albums/kinlaw-the-tipping-scale/,Kinlaw,The Tipping Scale,2021,7.2,
33,/reviews/albums/chris-crack-might-delete-later/,Chris Crack,Might Delete Later,2021,6.7,
34,/reviews/albums/mr-eazi-something-else-ep/,Mr Eazi,Something Else EP,2021,6.5,
35,/reviews/albums/dax-pierson-nerve-bumps-a-queer-divine-dissatisfaction/,Dax Pierson, Nerve Bumps (A Queer Divine Dissatisfaction),2021,7.7,
36,/reviews/albums/nothing-nowhere-trauma-factory/,"nothing,nowhere.",Trauma Factory,2021,6.6,
37,/reviews/albums/wild-pink-a-billion-little-lights/,Wild Pink,A Billion Little Lights,2021,7.6,
38,/reviews/albums/mogwai-as-the-love-continues/,Mogwai,As the Love Continues,2021,6.9,
39,/reviews/albums/loshh-ifarada-ep/,Loshh,Ífaradá EP,2021,7.8,
40,/reviews/albums/blessed-iii-ep/,Blessed,iii EP,2021,7.3,
41,/reviews/albums/katy-perry-teenage-dream/,Katy Perry,Teenage Dream,2010,6.8,
42,/reviews/albums/femi-kuti-made-kuti-legacy/,Femi Kuti||Made Kuti,Legacy +,2021,7.8,
43,/reviews/albums/cassandra-jenkins-an-overview-on-phenomenal-nature/,Cassandra Jenkins,An Overview on Phenomenal Nature,2021,8.3,
44,/reviews/albums/sg-lewis-times/,SG Lewis,times,2021,6.9,
45,/reviews/albums/adeline-hotel-good-timing/,Adeline Hotel,Good Timing,2021,7.7,
