pitchfork_id,link,artist,album,release_year,score,Unnamed: 6
15680,/reviews/albums/11036-we-brave-bee-stings-and-all/,Thao with the Get Down Stay Down,We Brave Bee Stings and All,2008,7.7,
15681,/reviews/albums/11127-greatest-hits/,Morrissey,Greatest Hits,2008,6.1,
15682,/reviews/albums/11106-slick-dogs-and-ponies/,Louis XIV,Slick Dogs and Ponies,2008,2.5,
15683,/reviews/albums/11113-snowbeast/,Luke Temple,Snowbeast,2007,7.4,
15684,/reviews/albums/11111-always-lift-him-up-a-tribute-to-blind-alfred-reed/,null -index error,Always Lift Him Up: A Tribute to Blind Alfred Reed,2008,7.6,
15685,/reviews/albums/11109-no-ground-under/,Ghislain Poirier,No Ground Under,2008,7.7,
15686,/reviews/albums/11121-the-assassination-of-jesse-james-by-the-coward-robert-ford/,Nick Cave||Warren Ellis,The Assassination of Jesse James by the Coward Robert Ford,2007,7.2,
15687,/reviews/albums/11071-songs-from-purgatory-cassette-recordings-1991-1996/,June Panic,Songs From Purgatory: Cassette Recordings 1991-1996,2007,5,
15688,/reviews/albums/11076-terrific-seasons/,These Are Powers,Terrific Seasons,2007,7.2,
15689,/reviews/albums/11068-gyllyng-street/,Songs of Green Pheasant,Gyllyng Street,2007,7.4,
15690,/reviews/albums/11086-hammer-of-the-gods/,Bottomless Pit,Hammer of the Gods,2007,8.3,
15691,/reviews/albums/11112-field-manual/,Chris Walla,Field Manual,2008,5.9,
15692,/reviews/albums/11050-dystopia/,Midnight Juggernauts,Dystopia,2007,5.1,
15693,/reviews/albums/11077-live-at-low-end-theory/,Daedelus,Live at Low End Theory,2008,7.1,
15694,/reviews/albums/11062-eccentric-soul-the-outskirts-of-deep-city/,null -index error,Eccentric Soul: The Outskirts of Deep City,2007,8,
15695,/reviews/albums/11107-most-of-the-remixes/,Soulwax,Most of the Remixes...,2008,6.9,
15696,/reviews/albums/11091-women-as-lovers/,Xiu Xiu,Women as Lovers,2008,7.9,
15697,/reviews/albums/11078-auditorium/,Radar Bros.,Auditorium,2008,5.5,
15698,/reviews/albums/11040-take-to-the-skies/,Enter Shikari,Take to the Skies,2007,6.7,
15699,/reviews/albums/11095-the-evening-descends/,Evangelicals,The Evening Descends,2008,8.3,
15700,/reviews/albums/11104-odelay-deluxe-edition/,Beck,Odelay: Deluxe Edition,2008,8.5,
15701,/reviews/albums/11650-the-voice-of-lightness-bel-canto/,Tabu Ley Rochereau||Mbilia Bel,The Voice of Lightness,2007,8.3,
