pitchfork_id,link,artist,album,release_year,score,Unnamed: 6
19600,/reviews/albums/8252-moment-returns/,Triosk,Moment Returns,2004,7.8,
19601,/reviews/albums/2581-slew/,Thomas Dimuzio,Slew,2004,8.3,
19602,/reviews/albums/2315-miss-machine/,The Dillinger Escape Plan,Miss Machine,2004,6.8,
19603,/reviews/albums/809-crimes/,The Blood Brothers,Crimes,2004,7.5,
19604,/reviews/albums/3993-birds-beasts-flowers-ep-split-with-autumn-defense/,The Autumn Defense||Hem,"Birds, Beasts & Flowers EP",2004,6.8,
19605,/reviews/albums/1783-shredders-dub/,Calamalka,Shredders Dub,2004,8,
19606,/reviews/albums/7780-desperate-straights-with-henry-cow/,Henry Cow||Slapp Happy,Desperate Straights,2004,8.2,
19607,/reviews/albums/3267-the-folded-palm/,Frog Eyes,The Folded Palm,2004,7.5,
19608,/reviews/albums/1266-new-roman-times/,Camper Van Beethoven,New Roman Times,2004,7,
19609,/reviews/albums/455-one-in-an-infinity-of-ways/,Ammoncontact,One in an Infinity of Ways,2004,6.9,
19610,/reviews/albums/3324-all-the-leaves-are-gone-with-the-supposed/,Josephine Foster||The Supposed,All the Leaves Are Gone,2004,7.7,
19611,/reviews/albums/2653-treble-tremble/,Earlimart,Treble & Tremble,2004,8,
19612,/reviews/albums/7009-manana/,Savath y Savalas,Mañana,2004,7.4,
19613,/reviews/albums/6299-summer-in-abaddon/,Pinback,Summer in Abaddon,2004,8.1,
19614,/reviews/albums/4526-kptmichigan/,kpt.michi.gan,kpt.michi.gan,2004,6.2,
19615,/reviews/albums/303-our-shadows-will-remain/,Joseph Arthur,Our Shadows Will Remain,2004,7.8,
19616,/reviews/albums/3799-mirages/,Tim Hecker,Mirages,2004,7.9,
19617,/reviews/albums/454-love-songs-for-patriots/,American Music Club,Love Songs for Patriots,2004,8,
19618,/reviews/albums/784-frank-black-francis/,Frank Black,Frank Black Francis,2004,7.4,
19619,/reviews/albums/2579-hidden-vagenda/,Kimya Dawson,Hidden Vagenda,2004,6.5,
19620,/reviews/albums/6964-favourite-colours/,The Sadies,Favourite Colours,2004,7.2,
19621,/reviews/albums/1000-dents-and-shells/,Richard Buckner,Dents and Shells,2004,8,
19622,/reviews/albums/2208-the-grind-date/,De La Soul,The Grind Date,2004,8.2,
19623,/reviews/albums/11731-discreet-musicambient-1-music-for-airportsambient-2-the-plateaux-of-mirror-with-harold-buddambient-4-on-land/,Brian Eno||Harold Budd,Discreet Music,2004,8.8,
19624,/reviews/albums/1732-city/,Client,City,2004,5.9,
19625,/reviews/albums/8384-those-who-were-hung-hang-here/,Uncut,Those Who Were Hung Hang Here,2004,7.7,
19626,/reviews/albums/5609-conscientious-objector/,R. Stevie Moore,Conscientious Objector,2004,8,
19627,/reviews/albums/4387-pockets/,Karate,Pockets,2004,8.2,
19628,/reviews/albums/3653-hidros-3-to-patti-smith/,Mats Gustafsson,Hidros 3 (To Patti Smith),2004,6.9,
19629,/reviews/albums/4585-joyful-rebellion/,k-os,Joyful Rebellion,2004,7.4,
19630,/reviews/albums/4584-handwriting/,Khonnor,Handwriting,2004,7.7,
19631,/reviews/albums/3992-in-the-alleyway/,Hercules,In the Alleyway,2004,8.2,
19632,/reviews/albums/3011-palookaville/,Fatboy Slim,Palookaville,2004,4.6,
19633,/reviews/albums/11700-abattoir-bluesthe-lyre-of-orpheus/,Nick Cave & the Bad Seeds,Abattoir Blues,2004,7.8,
19634,/reviews/albums/8662-schoner-fluengel/,Keith Fullerton Whitman,Schöner Flußengel,2004,7.6,
19635,/reviews/albums/1132-codename-dustsucker/,Bark Psychosis,Codename: Dustsucker,2004,7.7,
19636,/reviews/albums/3540-this-week/,Jean Grae,This Week,2004,7.9,
19637,/reviews/albums/6628-power/,Q and Not U,Power,2004,7.5,
19638,/reviews/albums/6752-around-the-sun/,R.E.M.,Around the Sun,2004,5.2,
19639,/reviews/albums/8064-in-the-world-of-him/,Sally Timms,In the World of Him,2004,6.7,
19640,/reviews/albums/4723-the-whispering-wall/,The Legendary Pink Dots,The Whispering Wall,2004,7.6,
19641,/reviews/albums/1782-mbira-magic/,Richard Crandell,Mbira Magic,2004,7.9,
19642,/reviews/albums/3932-audit-in-progress/,Hot Snakes,Audit in Progress,2004,7.7,
19643,/reviews/albums/8565-real-gone/,Tom Waits,Real Gone,2004,8,
19644,/reviews/albums/8458-night-on-fire/,VHS or Beta,Night on Fire,2004,4.2,
19645,/reviews/albums/7003-every-night/,Saturday Looks Good to Me,Every Night,2004,7.5,
19646,/reviews/albums/8782-painting-a-burning-building/,Brandon Wiard,Painting a Burning Building,2004,8.1,
19647,/reviews/albums/8730-burned-mind/,Wolf Eyes,Burned Mind,2004,8,
19648,/reviews/albums/4295-damage-as-blues-explosion/,Blues Explosion,Damage,2004,6.8,
19649,/reviews/albums/6932-transmaniacon/,RTX,Transmaniacon,2004,5.8,
19650,/reviews/albums/8913-just-beyond-the-river/,James Yorkston||The Athletes,Just Beyond the River,2004,7.6,
19651,/reviews/albums/8946-trust-not-those-in-whom-without-some-touch-of-madness/,Thalia Zedek,Trust Not Those in Whom Without Some Touch of Madness,2004,7.8,
19652,/reviews/albums/6141-young-prayer/,Panda Bear,Young Prayer,2004,8.5,
19653,/reviews/albums/1129-bloc-party-ep/,Bloc Party,Bloc Party EP,2004,8,
19654,/reviews/albums/4550-the-beautiful-struggle/,Talib Kweli,The Beautiful Struggle,2004,7.6,
19655,/reviews/albums/7160-itll-be-cool/,Silkworm,It'll Be Cool,2004,7.1,
19656,/reviews/albums/6930-rhythmatism/,Steve Reid,Rhythmatism,2004,9,
19657,/reviews/albums/3323-gold/,The Fucking Am,Gold,2004,7,
19658,/reviews/albums/8781-smile/,Brian Wilson,Smile,2004,9,
19659,/reviews/albums/6853-little-hearts-ease/,Royal City,Little Heart's Ease,2004,5.8,
19660,/reviews/albums/5608-i-com/,Miss Kittin,I Com,2004,7,
19661,/reviews/albums/2054-trax-records-20th-anniversary-collection/,null -index error,Trax Records: 20th Anniversary Collection,2004,9.1,
19662,/reviews/albums/2269-universal-audio/,The Delgados,Universal Audio,2004,7.6,
19663,/reviews/albums/5607-travistan/,Travis Morrison,Travistan,2004,0,
19664,/reviews/albums/6152-things-are-strange/,PANTHERS,Things Are Strange,2004,6.2,
