pitchfork_id,link,artist,album,release_year,score,Unnamed: 6
7840,/reviews/albums/19442-steve-gunn-mike-cooper-cantos-de-lisboa/,Steve Gunn||Mike Cooper,Cantos de Lisboa,2014,7.2,
7841,/reviews/albums/19575-tonstartssbandht-overseas/,Tonstartssbandht,Overseas,2014,8,
7842,/reviews/albums/19501-matt-kivel-days-of-being-wild/,Matt Kivel,Days of Being Wild,2014,7.6,
7843,/reviews/albums/19612-mellowhype-insa/,MellowHype,INSA,2014,6.6,
7844,/reviews/albums/19634-the-dream-royalty-the-prequel-ep/,The-Dream,Royalty: The Prequel EP,2014,7.1,
7845,/reviews/albums/19578-late-bloomer-things-change/,Late Bloomer,Things Change,2014,7,
7846,/reviews/albums/19593-spazzkid-promise-ep/,Spazzkid,Promise EP,2014,7.4,
7847,/reviews/albums/19498-cold-beat-over-me/,Cold Beat,Over Me,2014,7.6,
7848,/reviews/albums/19479-g-eazy-these-things-happen/,G-Eazy,These Things Happen,2014,6.1,
7849,/reviews/albums/19497-wolves-in-the-throne-room-celestite/,Wolves in the Throne Room,Celestite,2014,4.7,
7850,/reviews/albums/19463-will-saul-dj-kicks/,Will Saul,DJ-Kicks,2014,6.1,
7851,/reviews/albums/19538-sighs-easy-to-forget-ep/,SIGHS,Easy to Forget EP,2014,7,
7852,/reviews/albums/19440-black-anvil-hail-death/,Black Anvil,Hail Death,2014,7.5,
7853,/reviews/albums/19547-babe-rainbows-falling-apart/,Babe Rainbow,Falling Apart,2014,6.5,
7854,/reviews/albums/19599-herbert-part-6-ep/,Herbert,Part 6 EP,2014,6.7,
7855,/reviews/albums/19493-various-artists-calypso-musical-poetry-in-the-caribbean-1955-69/,null -index error,Calypso: Musical Poetry in the Caribbean 1955-69,2014,6.3,
7856,/reviews/albums/19496-the-skygreen-leopards-family-crimes/,The Skygreen Leopards,Family Crimes,2014,7.2,
7857,/reviews/albums/19550-the-proper-ornaments-wooden-head/,The Proper Ornaments,Wooden Head,2014,7,
7858,/reviews/albums/19592-kyary-pamyu-pamyu-pikapika-fantasian/,Kyary Pamyu Pamyu,Pika Pika Fantajin,2014,6.7,
7859,/reviews/albums/19502-braid-no-coast/,Braid,No Coast,2014,7.7,
7860,/reviews/albums/19524-nonono-we-are-only-what-we-feel/,NONONO,We Are Only What We Feel,2014,5.8,
7861,/reviews/albums/19579-what-moon-things-what-moon-things/,What Moon Things,What Moon Things,2014,7.3,
7862,/reviews/albums/19499-fhloston-paradigm-the-phoenix/,Fhloston Paradigm,The Phoenix,2014,6.7,
7863,/reviews/albums/19557-kasai-allstars-beware-the-fetish/,Kasai Allstars,Beware the Fetish,2014,7.2,
7864,/reviews/albums/19495-viet-cong-cassette-ep/,Viet Cong,"""Cassette"" EP",2014,7.8,
7865,/reviews/albums/19393-serpentine-path-emanations/,Serpentine Path,Emanations,2014,7.7,
7866,/reviews/albums/19569-the-vacant-lots-departure/,The Vacant Lots,Departure,2014,5.2,
7867,/reviews/albums/19577-various-artists-brothers-sisters/,null -index error,Brothers & Sisters,2014,7.9,
7868,/reviews/albums/19482-godflesh-decline-and-fall-ep/,Godflesh,Decline and Fall EP,2014,7.9,
